Poprawnych,Poprawionych,Zepsutych,Niewykryte
1009,35,52,48
954,65,78,47
985,41,64,54
926,59,74,85
928,50,63,103
952,46,68,78
982,52,75,35
891,76,93,84
802,116,141,85
911,59,82,92
950,62,78,54
860,106,123,55
870,89,121,64
960,36,57,91
996,35,59,54
935,64,84,61
973,35,61,75
990,38,55,61
918,67,88,71
840,119,143,42
902,68,83,91
926,54,69,95
1006,29,50,59
968,57,72,47
970,44,64,66
905,76,96,67
957,54,72,61
910,61,85,88
916,93,112,23
1002,19,34,89
903,69,90,82
825,114,145,60
986,48,60,50
888,102,119,35
987,52,65,40
946,64,84,50
918,84,108,34
909,73,95,67
868,90,109,77
926,60,82,76
892,94,112,46
892,77,105,70
902,94,115,33
891,59,78,116
939,58,81,66
918,78,101,47
919,56,78,91
933,74,93,44
989,43,69,43
855,88,109,92
945,48,70,81
897,87,104,56
902,75,90,77
934,63,79,68
850,121,140,33
933,65,84,62
917,46,70,111
933,37,64,110
881,85,110,68
964,51,72,57
977,58,72,37
869,58,78,139
880,89,109,66
893,89,114,48
918,64,82,80
948,64,86,46
928,72,80,64
903,76,86,79
847,104,125,68
901,66,79,98
952,50,70,72
872,99,113,60
901,79,99,65
971,43,63,67
892,87,98,67
925,61,81,77
953,53,76,62
979,41,66,58
881,97,115,51
931,63,82,68
871,90,108,75
920,54,75,95
910,56,74,104
913,81,105,45
921,66,85,72
915,85,98,46
984,24,41,95
893,75,95,81
943,69,84,48
928,79,100,37
925,59,84,76
923,45,69,107
908,74,91,71
969,54,68,53
905,90,109,40
921,76,110,37
868,87,107,82
975,52,67,50
946,45,63,90
940,48,73,83
931,62,71,80
930,63,83,68
955,60,82,47
1018,34,51,41
923,57,76,88
867,99,119,59
903,75,95,71
920,79,100,45
958,65,81,40
907,60,87,90
942,60,81,61
960,46,64,74
926,65,89,64
978,32,59,75
1029,14,32,69
920,91,111,22
847,68,90,139
923,54,70,97
903,75,94,72
908,67,87,82
935,56,66,87
889,73,96,86
911,73,94,66
907,71,99,67
958,42,55,89
972,47,60,65
984,40,54,66
984,51,66,43
839,103,125,77
846,94,112,92
912,93,113,26
869,102,119,54
1004,28,57,55
923,51,75,95
927,46,72,99
856,78,105,105
934,63,77,70
939,53,72,80
907,62,79,96
892,73,103,76
892,80,101,71
980,40,62,62
908,65,94,77
868,88,111,77
921,63,88,72
972,33,57,82
920,45,68,111
948,59,83,54
871,96,117,60
912,54,75,103
943,48,70,83
902,85,106,51
900,95,110,39
969,25,44,106
921,89,104,30
905,66,87,86
1041,17,31,55
912,58,85,89
873,86,114,71
1025,20,37,62
882,69,89,104
923,75,92,54
970,60,80,34
935,57,78,74
911,86,104,43
940,56,78,70
899,62,78,105
923,76,101,44
888,97,120,39
898,77,99,70
868,95,114,67
849,107,129,59
901,80,97,66
921,63,74,86
925,54,74,91
984,52,65,43
956,48,72,68
955,65,84,40
908,63,83,90
871,93,113,67
873,87,110,74
812,118,139,75
933,59,79,73
895,89,106,54
869,98,113,64
868,85,116,75
953,33,50,108
953,50,62,79
845,84,117,98
959,51,68,66
930,69,87,58
951,70,92,31
903,59,85,97
967,58,77,42
894,87,102,61
920,68,91,65
850,83,100,111
897,60,79,108
857,105,119,63
942,63,80,59
832,129,144,39
909,84,102,49
837,93,117,97
955,35,62,92
908,53,73,110
951,72,86,35
893,86,106,59
873,80,100,91
909,89,110,36
901,79,108,56
911,75,90,68
871,98,111,64
828,89,119,108
988,49,62,45
926,56,71,91
800,105,123,116
887,102,122,33
982,30,49,83
989,40,68,47
835,93,112,104
924,59,78,83
851,94,115,84
1005,37,53,49
865,90,125,64
875,69,89,111
809,122,151,62
865,78,97,104
922,61,81,80
920,63,87,74
924,63,85,72
841,101,130,72
792,151,166,35
928,69,89,58
911,70,95,68
960,33,55,96
903,76,98,67
966,35,51,92
848,102,120,74
952,54,68,70
955,50,71,68
955,40,52,97
915,85,101,43
959,40,64,81
943,48,70,83
856,98,123,67
901,69,91,83
837,88,100,119
985,48,69,42
918,81,103,42
897,89,111,47
927,75,91,51
985,36,58,65
818,133,159,34
948,43,65,88
788,149,165,42
906,75,98,65
966,36,53,89
975,41,62,66
961,45,70,68
884,78,88,94
947,53,78,66
863,79,99,103
958,61,80,45
893,76,90,85
866,75,98,105
880,75,93,96
884,65,91,104
833,116,136,59
898,68,85,93
861,84,107,92
922,65,89,68
928,53,67,96
954,55,71,64
893,72,88,91
964,32,47,101
890,98,112,44
964,25,44,111
842,115,139,48
854,92,113,85
946,62,80,56
905,75,93,71
948,56,90,50
869,77,94,104
857,101,114,72
876,88,112,68
886,87,107,64
830,132,152,30
960,35,54,95
967,36,58,83
844,99,119,82
899,69,90,86
853,95,114,82
877,89,108,70
840,72,101,131
915,83,106,40
904,70,83,87
874,84,108,78
919,77,94,54
917,74,95,58
946,41,63,94
879,90,113,62
939,50,70,85
908,65,84,87
878,86,99,81
866,96,123,59
961,49,65,69
895,84,101,64
879,87,118,60
893,87,109,55
891,82,106,65
902,68,92,82
973,45,59,67
855,107,127,55
895,68,91,90
960,45,58,81
826,115,126,77
880,101,123,40
968,51,73,52
894,67,81,102
890,68,90,96
937,57,84,66
926,58,75,85
914,74,100,56
965,48,63,68
919,83,99,43
904,64,84,92
922,55,66,101
884,64,90,106
882,89,110,63
792,118,144,90
930,73,86,55
869,97,116,62
989,43,59,53
871,96,119,58
857,108,128,51
935,69,85,55
863,98,122,61
879,110,130,25
966,50,76,52
872,109,128,35
919,74,92,59
963,48,62,71
924,56,86,78
928,82,99,35
836,116,132,60
947,52,76,69
864,91,110,79
866,95,118,65
852,106,119,67
893,96,113,42
865,93,117,69
933,60,82,69
977,37,68,62
956,51,82,55
861,98,127,58
956,34,48,106
874,96,110,64
966,30,49,99
890,77,90,87
1011,40,61,32
932,43,69,100
934,64,84,62
922,59,90,73
901,84,104,55
967,57,75,45
915,70,94,65
981,43,62,58
891,89,111,53
913,92,113,26
880,100,121,43
950,55,82,57
981,55,67,41
910,81,101,52
868,102,118,56
884,82,100,78
978,28,49,89
976,39,70,59
836,102,117,89
924,59,75,86
876,86,112,70
878,91,107,68
973,40,57,74
933,50,69,92
894,78,97,75
968,45,57,74
944,39,69,92
889,72,93,90
953,47,72,72
945,55,78,66
871,79,105,89
889,51,68,136
857,87,107,93
912,84,115,33
920,68,89,67
919,68,95,62
836,92,109,107
936,67,84,57
970,41,61,72
951,52,75,66
973,36,64,71
954,58,85,47
895,46,65,138
920,49,66,109
878,97,121,48
920,68,91,65
987,36,62,59
955,45,70,74
843,118,137,46
936,74,94,40
980,47,69,48
792,130,147,75
902,70,83,89
924,67,92,61
878,77,93,96
899,91,116,38
933,45,74,92
913,63,80,88
883,78,108,75
898,71,96,79
909,70,97,68
883,81,100,80
835,75,101,133
914,74,97,59
877,88,106,73
954,39,61,90
890,100,124,30
927,49,71,97
878,80,97,89
903,69,88,84
938,53,67,86
923,52,68,101
878,102,126,38
909,64,88,83
856,107,132,49
994,18,36,96
984,33,53,74
906,70,92,76
900,90,108,46
926,68,99,51
981,66,88,9
906,57,78,103
963,44,64,73
933,75,92,44
1016,32,64,32
1004,54,71,15
945,64,89,46
982,39,65,58
956,58,75,55
