Poprawnych,Poprawionych,Zepsutych,Niewykryte
853,70,219,2
801,60,254,29
887,26,197,34
868,28,234,14
838,43,233,30
843,46,237,18
826,49,247,22
857,31,221,35
878,34,223,9
877,33,221,13
854,9,228,53
822,46,243,33
856,30,230,28
875,44,193,32
831,60,227,26
859,28,246,11
828,35,249,32
860,28,228,28
820,49,244,31
873,43,209,19
823,31,252,38
834,47,228,35
843,43,238,20
823,56,247,18
871,28,220,25
866,12,223,43
908,27,207,2
825,71,226,22
821,38,260,25
851,36,236,21
832,55,235,22
849,41,238,16
851,24,227,42
830,48,225,41
808,76,245,15
837,62,224,21
843,45,243,13
858,46,234,6
837,53,241,13
839,50,234,21
884,14,202,44
836,50,241,17
836,46,246,16
856,48,223,17
889,39,202,14
866,51,204,23
855,37,237,15
858,33,221,32
831,64,233,16
879,46,204,15
817,59,252,16
834,49,243,18
848,36,229,31
844,36,246,18
850,30,236,28
817,48,250,29
895,22,209,18
845,47,236,16
900,21,208,15
820,58,236,30
852,35,228,29
852,25,250,17
824,24,253,43
775,75,282,12
834,23,233,54
910,21,202,11
861,34,225,24
856,29,211,48
836,35,225,48
835,43,235,31
846,30,234,34
852,44,234,14
801,54,264,25
818,58,266,2
836,36,248,24
876,35,215,18
880,30,221,13
856,42,207,39
868,20,215,41
856,37,219,32
878,38,211,17
853,39,211,41
875,32,215,22
843,43,227,31
882,20,228,14
835,52,230,27
851,45,223,25
898,32,209,5
798,71,259,16
852,61,221,10
885,24,220,15
821,29,246,48
838,47,229,30
855,41,234,14
816,52,263,13
859,37,234,14
828,36,238,42
868,18,239,19
831,46,243,24
855,39,212,38
812,62,245,25
865,22,237,20
837,37,242,28
784,73,264,23
846,62,224,12
820,60,236,28
828,39,246,31
833,32,230,49
892,29,218,5
823,55,236,30
836,34,232,42
826,44,243,31
847,20,237,40
830,33,247,34
837,62,242,3
826,57,235,26
830,46,239,29
842,72,223,7
829,63,230,22
870,42,202,30
859,31,213,41
866,45,215,18
857,41,219,27
886,25,217,16
824,51,232,37
826,51,248,19
846,22,211,65
811,26,249,58
778,68,277,21
802,36,254,52
829,24,245,46
849,45,218,32
869,43,226,6
817,33,259,35
853,24,235,32
856,41,233,14
868,21,228,27
831,49,235,29
802,52,265,25
827,53,242,22
826,37,237,44
799,39,242,64
875,37,206,26
838,48,228,30
776,78,271,19
805,47,277,15
822,32,246,44
882,16,234,12
870,26,226,22
840,35,243,26
868,47,218,11
883,35,220,6
865,42,226,11
806,60,254,24
817,47,257,23
852,22,250,20
820,41,246,37
830,74,235,5
835,24,232,53
877,37,212,18
877,33,210,24
849,51,236,8
869,37,231,7
818,48,243,35
849,34,225,36
832,59,240,13
855,8,221,60
832,39,253,20
865,40,225,14
851,27,219,47
858,35,232,19
853,29,230,32
878,43,215,8
784,71,269,20
834,50,241,19
886,31,215,12
858,24,235,27
851,49,215,29
847,39,235,23
866,37,218,23
865,42,215,22
827,41,229,47
858,37,224,25
822,66,236,20
862,27,241,14
833,50,246,15
850,13,241,40
825,40,237,42
873,20,225,26
836,45,236,27
837,63,229,15
829,45,250,20
835,56,229,24
822,47,249,26
880,43,219,2
886,11,226,21
853,35,221,35
874,38,217,15
797,60,254,33
858,45,212,29
826,57,232,29
872,33,226,13
879,19,214,32
805,69,246,24
887,46,211,0
866,26,229,23
806,66,255,17
853,49,226,16
835,47,226,36
883,13,206,42
840,38,224,42
842,51,233,18
877,25,220,22
851,31,230,32
858,30,226,30
835,69,228,12
887,32,194,31
865,44,214,21
874,46,207,17
838,37,244,25
887,38,211,8
880,35,211,18
810,42,247,45
943,0,200,1
848,50,231,15
809,69,244,22
835,51,236,22
854,23,244,23
842,58,219,25
837,61,228,18
866,41,213,24
903,32,203,6
818,49,263,14
820,49,270,5
854,31,240,19
784,71,268,21
800,62,263,19
869,36,223,16
868,26,224,26
822,33,250,39
839,47,251,7
843,46,223,32
869,37,227,11
824,53,232,35
853,32,230,29
845,31,238,30
839,32,245,28
874,34,215,21
857,41,227,19
804,53,240,47
828,42,227,47
845,51,226,22
865,29,229,21
817,39,263,25
804,34,261,45
859,40,223,22
858,22,242,22
869,24,225,26
846,44,230,24
831,59,222,32
822,56,236,30
878,55,198,13
825,49,255,15
844,36,242,22
814,67,258,5
865,34,233,12
828,55,227,34
874,35,221,14
882,36,204,22
812,54,254,24
859,16,234,35
853,52,224,15
850,52,237,5
860,29,218,37
818,41,251,34
862,26,217,39
874,32,217,21
855,29,213,47
824,64,252,4
861,37,230,16
842,50,221,31
863,34,218,29
841,72,205,26
851,36,235,22
848,45,232,19
820,59,245,20
864,40,228,12
834,62,228,20
818,51,248,27
832,54,232,26
846,41,229,28
892,21,206,25
845,49,225,25
850,34,231,29
922,2,216,4
817,48,255,24
872,20,222,30
836,39,237,32
842,54,227,21
811,77,237,19
875,40,206,23
840,36,233,35
797,61,256,30
849,36,235,24
836,43,228,37
816,57,259,12
842,54,234,14
874,28,216,26
856,39,211,38
879,25,205,35
831,32,249,32
828,49,233,34
827,39,226,52
879,41,217,7
848,15,207,74
839,47,241,17
841,46,239,18
811,45,265,23
819,22,238,65
886,11,223,24
833,39,237,35
835,33,244,32
806,78,246,14
789,54,269,32
859,22,234,29
818,58,243,25
842,46,240,16
802,71,254,17
869,38,218,19
860,23,236,25
801,62,266,15
836,31,243,34
865,42,226,11
883,34,216,11
862,39,229,14
823,60,246,15
857,52,225,10
864,33,227,20
840,29,249,26
810,58,239,37
773,57,277,37
809,35,260,40
825,58,240,21
851,61,221,11
832,47,224,41
814,35,246,49
842,29,248,25
883,21,220,20
843,47,236,18
864,62,194,24
837,59,246,2
928,1,214,1
782,57,264,41
824,48,242,30
820,47,241,36
864,33,229,18
810,74,242,18
