Poprawnych,Poprawionych,Zepsutych,Niewykryte
847,24,261,12
868,34,236,6
874,25,240,5
861,22,255,6
841,28,267,8
828,29,274,13
868,28,239,9
879,28,231,6
874,28,237,5
852,26,259,7
848,27,256,13
885,25,219,15
857,24,251,12
853,30,251,10
849,29,258,8
860,19,256,9
875,20,239,10
845,32,259,8
845,34,257,8
867,32,240,5
865,28,241,10
822,28,286,8
828,21,279,16
852,31,256,5
858,29,251,6
850,29,256,9
851,22,258,13
856,27,254,7
851,30,255,8
828,26,278,12
848,33,261,2
845,23,269,7
863,26,246,9
849,30,259,6
850,31,260,3
857,28,250,9
866,23,249,6
860,28,253,3
852,39,249,4
877,19,238,10
876,21,238,9
863,30,244,7
867,23,247,7
870,23,238,13
865,33,236,10
848,36,253,7
876,22,239,7
844,28,265,7
847,31,259,7
845,29,265,5
850,29,257,8
861,19,254,10
845,30,263,6
848,25,267,4
860,33,244,7
881,13,243,7
850,27,257,10
839,35,265,5
855,21,258,10
852,31,255,6
857,22,257,8
844,30,256,14
852,27,259,6
824,32,281,7
841,23,277,3
868,26,243,7
860,28,244,12
836,28,272,8
858,34,244,8
868,23,242,11
879,17,242,6
871,27,236,10
867,29,243,5
854,32,248,10
863,34,244,3
854,29,253,8
869,24,244,7
856,31,252,5
846,29,263,6
844,32,261,7
845,32,258,9
855,32,248,9
881,21,236,6
865,26,248,5
861,33,242,8
875,26,237,6
872,26,235,11
834,28,270,12
823,36,274,11
858,29,250,7
862,23,244,15
833,30,270,11
843,21,273,7
884,19,234,7
850,25,258,11
858,23,252,11
862,26,253,3
871,29,231,13
863,28,244,9
862,28,245,9
890,15,237,2
875,20,239,10
879,28,230,7
878,24,239,3
863,25,247,9
859,30,247,8
820,33,283,8
841,19,269,15
837,23,276,8
853,18,266,7
860,30,250,4
879,21,231,13
854,24,260,6
857,30,252,5
868,27,241,8
874,24,234,12
867,31,244,2
865,29,238,12
892,26,220,6
883,28,226,7
869,12,256,7
845,31,261,7
849,30,256,9
868,24,246,6
866,25,244,9
862,22,250,10
840,34,267,3
861,26,249,8
843,29,260,12
873,10,252,9
865,29,239,11
848,33,253,10
873,26,238,7
884,21,233,6
879,27,230,8
860,26,252,6
861,27,249,7
851,25,261,7
846,36,253,9
863,24,250,7
854,23,254,13
855,23,258,8
883,30,225,6
888,24,219,13
849,30,260,5
861,27,252,4
868,24,241,11
854,29,256,5
857,26,252,9
857,27,257,3
849,32,251,12
872,26,235,11
867,25,250,2
844,35,260,5
864,21,252,7
846,24,263,11
855,31,251,7
862,26,252,4
862,23,250,9
856,26,252,10
851,27,261,5
849,36,252,7
855,29,251,9
839,22,279,4
827,31,276,10
863,31,244,6
880,24,230,10
861,26,247,10
857,31,252,4
865,25,251,3
843,38,257,6
854,24,256,10
846,31,259,8
859,32,246,7
847,26,260,11
861,29,249,5
865,30,241,8
834,32,277,1
833,38,268,5
853,24,263,4
875,32,229,8
873,27,238,6
861,31,246,6
849,42,252,1
849,28,257,10
856,26,255,7
849,36,252,7
854,24,255,11
862,28,243,11
868,24,246,6
885,26,226,7
871,32,235,6
867,21,250,6
862,23,247,12
871,26,232,15
873,31,230,10
896,18,218,12
847,30,259,8
855,26,250,13
829,30,273,12
845,21,263,15
879,28,234,3
875,30,230,9
842,16,273,13
833,29,276,6
858,25,253,8
856,34,249,5
859,36,248,1
836,28,272,8
859,27,253,5
851,34,252,7
861,31,244,8
854,32,255,3
874,28,229,13
873,18,239,14
866,20,253,5
835,33,270,6
841,32,271,0
865,25,242,12
865,19,249,11
845,28,259,12
879,20,235,10
861,28,248,7
841,36,262,5
855,27,255,7
869,24,242,9
882,22,227,13
852,27,253,12
854,28,256,6
858,34,243,9
869,28,238,9
845,25,264,10
859,25,250,10
853,30,257,4
864,25,247,8
841,31,260,12
863,22,242,17
858,30,251,5
887,16,235,6
876,29,233,6
848,35,256,5
840,33,263,8
859,24,252,9
843,25,268,8
843,22,265,14
860,21,253,10
849,32,261,2
838,32,269,5
851,19,263,11
856,26,254,8
856,29,254,5
853,34,251,6
872,24,239,9
848,27,261,8
856,17,262,9
849,37,252,6
842,19,273,10
827,26,284,7
852,27,254,11
835,39,264,6
853,27,251,13
876,25,232,11
873,28,239,4
850,37,252,5
849,36,256,3
873,24,238,9
855,29,255,5
858,23,252,11
860,29,248,7
854,30,254,6
848,33,256,7
848,24,262,10
854,19,259,12
865,28,240,11
870,21,246,7
841,40,258,5
863,33,242,6
864,23,252,5
865,23,242,14
882,29,228,5
886,23,234,1
860,29,247,8
865,28,245,6
879,20,235,10
879,25,230,10
867,31,239,7
853,31,253,7
856,31,252,5
860,24,248,12
852,23,260,9
842,26,267,9
864,20,258,2
856,23,259,6
853,31,253,7
867,21,243,13
862,29,245,8
862,26,247,9
855,27,255,7
868,25,242,9
848,36,251,9
875,23,238,8
874,23,236,11
858,35,246,5
860,26,244,14
850,32,258,4
873,26,237,8
856,33,243,12
866,25,245,8
860,30,246,8
851,33,255,5
863,24,252,5
869,24,245,6
856,30,250,8
854,23,261,6
894,19,226,5
874,34,230,6
875,39,226,4
850,26,262,6
839,32,267,6
868,29,241,6
874,25,231,14
867,27,247,3
853,33,253,5
855,24,251,14
856,29,253,6
874,29,232,9
853,24,256,11
833,26,278,7
866,24,247,7
867,22,245,10
876,29,233,6
861,38,241,4
871,24,238,11
858,25,253,8
862,29,250,3
867,22,251,4
875,25,236,8
849,23,261,11
844,24,263,13
876,23,232,13
873,28,234,9
861,34,239,10
869,22,241,12
868,27,239,10
842,27,267,8
838,32,263,11
831,30,273,10
835,29,271,9
842,33,264,5
867,26,242,9
868,24,242,10
868,34,234,8
876,23,236,9
843,28,258,15
839,25,273,7
862,36,242,4
860,32,246,6
858,26,250,10
860,30,246,8
868,28,242,6
850,38,247,9
865,28,245,6
865,24,250,5
862,27,250,5
842,32,266,4
868,19,251,6
842,35,263,4
877,17,236,14
865,28,248,3
864,21,255,4
861,26,247,10
864,28,240,12
855,29,254,6
873,38,225,8
869,30,241,4
848,26,257,13
853,39,249,3
883,18,234,9
868,23,252,1
865,30,236,13
881,27,229,7
883,18,231,12
843,36,260,5
844,38,259,3
875,20,244,5
871,21,240,12
870,34,235,5
881,24,231,8
853,22,261,8
867,23,242,12
862,27,251,4
852,34,251,7
843,30,258,13
853,30,257,4
851,15,268,10
866,30,239,9
869,31,236,8
877,16,242,9
856,34,244,10
857,25,254,8
849,29,257,9
873,26,243,2
880,24,232,8
843,24,267,10
847,36,259,2
856,31,248,9
835,34,267,8
845,31,260,8
837,33,272,2
839,23,267,15
860,25,252,7
870,28,238,8
858,33,246,7
835,29,274,6
844,26,264,10
843,24,267,10
835,28,274,7
848,23,266,7
860,27,244,13
836,25,274,9
850,21,265,8
875,23,235,11
867,29,237,11
852,27,255,10
843,34,265,2
856,29,252,7
856,26,255,7
