Poprawnych,Poprawionych,Zepsutych,Niewykryte
635,234,57,74
684,203,37,76
622,205,81,92
638,196,64,102
646,198,52,104
594,229,69,108
668,217,24,91
698,193,51,58
618,216,52,114
633,239,50,78
631,224,84,61
618,209,81,92
635,226,33,106
648,203,53,96
671,214,73,42
635,230,45,90
627,225,66,82
597,223,70,110
578,235,45,142
595,227,33,145
598,216,38,148
686,210,55,49
708,197,39,56
652,231,35,82
625,225,53,97
625,220,29,126
672,191,34,103
625,218,43,114
663,208,44,85
627,217,85,71
701,200,37,62
643,217,26,114
624,219,60,97
662,217,55,66
665,219,32,84
610,223,84,83
715,191,45,49
618,218,68,96
670,224,48,58
636,222,37,105
640,212,31,117
618,224,74,84
633,213,50,104
613,224,61,102
660,194,40,106
615,221,33,131
624,230,56,90
663,221,27,89
708,185,27,80
617,222,82,79
630,217,66,87
618,218,62,102
663,212,39,86
616,232,44,108
560,234,71,135
613,224,73,90
663,187,38,112
646,207,48,99
655,216,64,65
646,206,38,110
706,188,42,64
648,228,44,80
660,196,37,107
664,226,41,69
640,208,34,118
656,202,52,90
584,230,72,114
612,216,49,123
678,195,27,100
624,227,39,110
610,233,55,102
620,213,30,137
609,222,62,107
618,219,49,114
651,220,41,88
619,240,38,103
668,204,37,91
617,231,49,103
697,196,35,72
679,206,62,53
611,219,54,116
642,199,52,107
669,200,31,100
625,223,42,110
591,225,70,114
675,183,26,116
701,194,41,64
649,197,55,99
664,203,54,79
658,216,78,48
659,210,26,105
668,208,49,75
585,222,54,139
693,194,47,66
663,187,32,118
695,203,45,57
637,207,59,97
636,223,47,94
627,228,25,120
576,233,89,102
658,209,54,79
714,210,17,59
727,192,27,54
696,189,62,53
662,206,63,69
651,219,27,103
705,199,29,67
648,214,57,81
616,206,58,120
710,180,23,87
647,204,61,88
615,238,46,101
591,231,94,84
699,178,47,76
658,200,52,90
697,193,25,85
639,217,54,90
651,207,58,84
614,226,66,94
649,206,33,112
686,188,37,89
633,210,57,100
665,207,66,62
649,222,50,79
624,207,41,128
648,228,49,75
695,185,57,63
641,220,55,84
703,181,46,70
688,200,33,79
653,197,31,119
614,226,45,115
632,230,56,82
701,176,35,88
635,224,46,95
691,179,62,68
610,236,67,87
593,239,19,149
690,186,39,85
664,197,22,117
662,214,31,93
633,227,57,83
655,203,31,111
626,216,41,117
615,219,30,136
654,210,41,95
618,205,70,107
688,185,45,82
577,233,57,133
698,184,44,74
606,229,41,124
663,209,50,78
660,198,43,99
613,226,39,122
641,221,36,102
697,184,35,84
612,229,56,103
634,214,41,111
675,211,40,74
618,221,30,131
614,224,55,107
660,202,49,89
624,235,39,102
618,219,57,106
718,171,29,82
632,208,47,113
624,216,39,121
659,210,67,64
680,191,58,71
658,209,50,83
649,245,22,84
690,181,21,108
653,209,35,103
621,207,67,105
652,195,65,88
667,205,43,85
660,208,51,81
635,217,40,108
652,208,28,112
607,213,37,143
615,217,117,51
727,172,44,57
636,224,31,109
625,204,47,124
692,196,47,65
627,236,39,98
624,226,43,107
602,221,51,126
682,212,46,60
612,229,43,116
658,201,72,69
625,222,51,102
689,209,40,62
610,215,62,113
642,213,57,88
650,219,50,81
638,205,32,125
620,221,43,116
688,199,23,90
666,183,57,94
718,201,44,37
641,229,37,93
692,196,61,51
637,213,46,104
679,201,34,86
635,211,28,126
602,217,74,107
628,212,43,117
628,232,53,87
680,184,28,108
677,198,39,86
731,167,30,72
640,217,67,76
636,217,33,114
639,220,64,77
614,214,46,126
661,215,22,102
641,211,21,127
633,209,25,133
648,198,36,118
684,194,32,90
682,186,51,81
633,227,35,105
579,232,41,148
660,225,46,69
642,221,49,88
648,213,33,106
577,232,41,150
647,219,41,93
676,204,37,83
626,218,50,106
734,156,43,67
641,221,60,78
671,201,43,85
639,213,40,108
617,215,51,117
678,189,63,70
643,219,65,73
658,194,49,99
616,226,44,114
647,216,47,90
611,229,44,116
598,229,52,121
592,234,52,122
578,221,50,151
619,214,44,123
581,216,71,132
666,193,30,111
671,207,38,84
636,215,45,104
665,204,21,110
594,235,68,103
573,242,56,129
658,211,49,82
704,196,36,64
698,204,37,61
607,220,31,142
719,176,32,73
651,214,68,67
